#,STORE,CORPORATE NAME,COUNTY,CONTACT,LIQUOR LICENSE #,SALES TAX ID,ADDRESS,CITY,STATE,ZIP,PHONE
1,SALUMI,ULTRAVIOLET ENTERPRISES LTD,NASSAU,JONATHAN,1246696,26-2505984,5600 MERRICK RD,MASSAPEQUA,NY,11758,516-620-0057
2,RED GAMAY,A & A PACE INC,SUFFOLK,ANTHONY,1305739,82-2693536,45 MERRICK RD,AMITYVILLE,NY,11701,631-691-2888
3,PLANCHA,INFRARED ENTERPRISES LTD,NASSAU,JONATHAN,1272362,45-5559917,931 FRANKLIN AVENUE,GARDEN CITY,NY,11530,516-246-9459
4,POST WINE & SPIRITS,OBED CORP,NASSAU,IAN,1320008,84-2094215,510 JERICHO TPKE,SYOSSET,NY,11791,516-921-1820
5,SOUTHGATE WINE & LIQUOR,ARO LIQUOR STORE INC,NASSAU,RAY,1276436,46-4290392,4908 MERRICK RD,MASSAPEQUA,NY,11762,516-797-9888
6,BABYLON WINE & LIQUOR,BABYLON WINE & LIQUOR INC,SUFFOLK,MOON,1308723,82-4291953,15 COOPER ST,BABYLON,NY,11702,631-314-4485
7,B&B FISH AND CLAM,BOWMAN FISH INC,SUFFOLK,HARRY,1233384,30-0475473,179 MERRICK RD,AMITYVILLE,NY,11701,631-608-020
8,SOPHIA ITALIAN BISTRO,AMICI OPERATING CORP,SUFFOLK,JOSE,1286212,47-1947624,71 MERRICK RD,AMITYVILLE,NY,11701,631-598-1150
9,WINE & SPIRITS TONITE,WINE TONITE LLC,NASSAU,MARK,1328543,85-0976394,151 WOODBURY RD,WOODBURY,NY,11797,516-283-2373
10,MOLTO PIZZA,MOLTO PIZZA LTD,SUFFOLK,MAX,1314347,83-2080998,376 DEER PARK AVE,BABYLON,NY,11702,631-314-4412
11,VILLAGE WINES & SPIRITS,5 GOLDFINCH LLC,NASSAU,ERIC,1281096,47-1245428,1009 PARK BLVD,MASSAPEQUA PARK,NY,11762,516-541-9463
12,SUNSHINE LIQUOR & WINE,SUNSHINE LIQUOR & WINE CORP,NASSAU,HELEN,1147182,04-3779323,3553 MERRICK RD STORE #7,SEAFORD,NY,11783,516-785-1150
13,BLUEBIRD KITCHEN,"BLUEBIRD KITCHEN, LLC",NASSAU,KARIM,1336547,86-3111844,2405 MERRICK RD,BELLMORE,NY,11710,516-962-9600
14,SLIM & HARRY'S LIQUOR STORE,OAKDALE WINE & SPIRITS INC,SUFFOLK,SUNNY,1181535,20-4982664,4526 SUNRISE HIGHWAY,OAKDALE,NY,11769,631-567-2172
15,EAST ISLIP LIQUOR & WINE,YSF LIQUOR INC,SUFFOLK,SUSAN,1302804,81-3550694,284 MONTAUK HWY,EAST ISLIP,NY,11730,631-446-1168
16,DOWN THE RABBIT HOLE WINE BOUTIQUE,WINE VIE LLC,SUFFOLK,JESSICA,1317715,83-3482671,4 MAIN STREET,SAYVILLE,NY,11782,631-589-9463
17,THE WINE SELLER FINE WINE AND LIQUOR,DUMESH WINE & LIQUOR INC,SUFFOLK,JAY,1207185,01-0907934,300 W MAIN STREET,SAYVILLE,NY,11782,631-589-7474
18,WINE & LIQUOR DEPOT,SAYRON CORP,SUFFOLK,NEIL,1046050,11-3234634,207 ISLIP AVENUE,ISLIP,NY,11751,631-581-1680
19,SIP & SAY CRAFT WINE & SPIRITS,D&A WINES LLC,NASSAU,ADAM,1311948,83-1057592,2067 MERRICK RD,MERRICK,NY,11566,516-992-8111
20,BACARO,JT FOOD SERVICE LLC,NASSAU,TOM,1290314,47-5028150,1020 PARK BLVD,MASSAPEQUA PARK,NY,11762,516-798-1555
21,LONG ISLAND PEKIN,DUCKIES BAR & GRILL INC,SUFFOLK,JASON,1318901,83-2779265,96 E MAIN ST,BABYLON,NY,11702,631-587-9889
22,UNQUA CORINTHIAN YACHT CLUB,UNQUA CORINTHIAN YACHT CLUB INC,SUFFOLK,ASHLING,1045390,11-1431855,31 UNQUA PL,AMITYVILLE,NY,11701,631-691-6570
23,BORELLI'S TAPROOM,POUR CONCEPTS INC,NASSAU,TOM,1311355,83-0696269,912 W BEECH ST,LONG BEACH,NY,11561,516-705-8674
24,TOOMEY'S,C & L TAVERN LLC,SUFFOLK,RICHIE,1297010,45-2032564,251 S KETCHUM AVE,AMITYVILLE,NY,11701,631-264-0564
25,DISCOUNT LIQUOR,DRAGON FLY INC,NASSAU,TRACEY,1263176,45-4645006,5500 SUNRISE HWY STORE NUM 10,MASSAPEQUA,NY,11758,516-798-9325
26,PINO WINE BAR & BISTRO,PINO BISTRO CORP,SUFFOLK,ANTHONY,1365406,92-2200991,143 N WELLWOOD AVE,LINDENHURST,NY,11757,631-220-0392